date,mintemp,maxtemp,windspeed,weatherevent
11/1/2019,24°C,34°C,26 Km/h,ThunderstormRain
11/2/2019,25°C,34°C,32 Km/h,ThunderstormRain
11/3/2019,25°C,34°C,N/A,ThunderstormRain
11/4/2019,25°C,33°C,15 Km/h,Thunderstorm
11/5/2019,24°C,34°C,24 Km/h,ThunderstormRain
11/6/2019,24°C,34°C,N/A,ThunderstormRain
11/7/2019,24°C,34°C,21 Km/h,weather events not reported
11/8/2019,24°C,35°C,22 Km/h,weather events not reported
11/9/2019,25°C,36°C,21 Km/h,weather events not reported
11/10/2019,27°C,34°C,N/A,weather events not reported
11/11/2019,26°C,34°C,N/A,ThunderstormRain
11/12/2019,25°C,34°C,N/A,Thunderstorm
11/13/2019,26°C,34°C,24 Km/h,Rain
11/14/2019,26°C,31°C,28 Km/h,weather events not reported
11/15/2019,24°C,34°C,22 Km/h,Thunderstorm
11/16/2019,25°C,36°C,N/A,weather events not reported
11/17/2019,25°C,35°C,22 Km/h,weather events not reported
11/18/2019,25°C,36°C,21 Km/h,weather events not reported
11/19/2019,25°C,34°C,22 Km/h,weather events not reported
11/20/2019,25°C,34°C,16 Km/h,Thunderstorm
11/21/2019,25°C,33°C,24 Km/h,ThunderstormRain
11/22/2019,25°C,33°C,15 Km/h,weather events not reported
11/23/2019,27°C,33°C,15 Km/h,weather events not reported
11/24/2019,26°C,35°C,16 Km/h,weather events not reported
11/25/2019,25°C,34°C,15 Km/h,weather events not reported
11/26/2019,25°C,33°C,13 Km/h,ThunderstormRain
11/27/2019,25°C,33°C,N/A,Thunderstorm
11/28/2019,26°C,33°C,N/A,weather events not reported
11/29/2019,27°C,33°C,22 Km/h,ThunderstormRain
11/30/2019,24°C,29°C,15 Km/h,ThunderstormRain
12/2/2019,27°C,33°C,15 Km/h,Rain
12/3/2019,27°C,33°C,22 Km/h,weather events not reported
12/4/2019,27°C,34°C,N/A,Thunderstorm
12/5/2019,26°C,32°C,N/A,weather events not reported
12/13/2019,27°C,32°C,29 Km/h,Thunderstorm
12/14/2019,25°C,32°C,16 Km/h,weather events not reported
12/15/2019,26°C,32°C,13 Km/h,Thunderstorm
12/16/2019,25°C,31°C,11 Km/h,ThunderstormRain
12/17/2019,24°C,31°C,29 Km/h,ThunderstormRain
12/18/2019,25°C,32°C,16 Km/h,weather events not reported
12/19/2019,27°C,32°C,15 Km/h,weather events not reported
12/20/2019,26°C,33°C,16 Km/h,Thunderstorm
12/21/2019,26°C,33°C,N/A,weather events not reported
12/22/2019,24°C,32°C,22 Km/h,ThunderstormRain
12/23/2019,23°C,34°C,28 Km/h,ThunderstormRain
12/24/2019,25°C,33°C,24 Km/h,ThunderstormRain
